BLDG ID, STREET ADDRESS, ZIP CODE, LAST REG, RC COUNT, DOCKET NO, CASE TYPE, CASE STATUS, FILING DATE, CLOSING DATE, CLOSE CODE, STAFF ID, MCI ITEM, CLAIM COST, ALLOW COST, WK BEG DT
327813, 5544 AVENUE D BROOKLYN NY, 11203, 2020, 0, FR210051OM, OM, CLOSED, 06/30/2017, 08/07/2018, GP, A1A99, WASTE COMPACTOR, 38844.20, 28974.00, 04/01/2015
327813, 5544 AVENUE D BROOKLYN NY, 11203, 2020, 0, FR210051OM, OM, CLOSED, 06/30/2017, 08/07/2018, GP, A1A99, TV/SECURITY SYSTEM, 52625.03, 50532.03, 05/01/2015
327813, 5544 AVENUE D BROOKLYN NY, 11203, 2020, 0, FR210051OM, OM, CLOSED, 06/30/2017, 08/07/2018, GP, A1A99, GARAGE ROOF, 45340.28, 0.00, 03/01/2015
327813, 5544 AVENUE D BROOKLYN NY, 11203, 2020, 0, FR210051OM, OM, CLOSED, 06/30/2017, 08/07/2018, GP, A1A99, GARAGE DOOR, 31450.00, 0.00, 03/01/2015
334441, 2502 AVENUE D BROOKLYN NY, 11226, 2019, 0, HM210102OM, OM, OPEN, 01/18/2019, N/A, NONE, MSW2, PUBLIC AREA DOOR, 4000.00, 0, 05/15/2017
334441, 2502 AVENUE D BROOKLYN NY, 11226, 2019, 0, HM210102OM, OM, OPEN, 01/18/2019, N/A, NONE, MSW2, INTERCOM, 7443.50, 0, 02/15/2017
334441, 2502 AVENUE D BROOKLYN NY, 11226, 2019, 0, HM210102OM, OM, OPEN, 01/18/2019, N/A, NONE, MSW2, CAMERAS, 8400.00, 0, 01/10/2017
334441, 2502 AVENUE D BROOKLYN NY, 11226, 2019, 0, HM210102OM, OM, OPEN, 01/18/2019, N/A, NONE, MSW2, NEW ROOF, 53000.00, 0, 05/25/2017
334441, 2502 AVENUE D BROOKLYN NY, 11226, 2019, 0, HM210102OM, OM, OPEN, 01/18/2019, N/A, NONE, MSW2, ELEVATOR UPGRADING, 105700.00, 0, 02/15/2017
334441, 2502 AVENUE D BROOKLYN NY, 11226, 2019, 0, HM210102OM, OM, OPEN, 01/18/2019, N/A, NONE, MSW2, SIDEWALK BRIDGE, 21242.50, 0, 12/13/2017
334441, 2502 AVENUE D BROOKLYN NY, 11226, 2019, 0, HM210102OM, OM, OPEN, 01/18/2019, N/A, NONE, MSW2, ENGINEER, 14576.50, 0, 04/01/2018
334441, 2502 AVENUE D BROOKLYN NY, 11226, 2019, 0, HM210102OM, OM, OPEN, 01/18/2019, N/A, NONE, MSW2, POINTING, 200000.00, 0, 10/01/2018
329073, 2714 AVENUE D BROOKLYN NY, 11226, 2019, 0, GS210005X, X, CLOSED, 07/13/2018, 07/13/2018, CW, RX-00002-18
333964, 202 AVENUE F BROOKLYN NY, 11218, 2019, 0, CV230054X, X, CLOSED, 10/22/2014, 12/04/2014, CW, RX-00009-14
301079, 209 AVENUE F BROOKLYN NY, 11218, 2020, 0, BN210074OM, OM, CLOSED, 02/15/2013, 08/22/2013, GR, ROM-00054-13, WINDOW LOT-LINE/HALL, 2040.00, 2040.00, 03/16/2011
301079, 209 AVENUE F BROOKLYN NY, 11218, 2020, 0, BN210074OM, OM, CLOSED, 02/15/2013, 08/22/2013, GR, ROM-00054-13, NEW ROOF, 10625.00, 10625.00, 04/26/2011
301079, 209 AVENUE F BROOKLYN NY, 11218, 2020, 0, BN210074OM, OM, CLOSED, 02/15/2013, 08/22/2013, GR, ROM-00054-13, INTERCOM, 7450.00, 7450.00, 03/04/2011
301079, 209 AVENUE F BROOKLYN NY, 11218, 2020, 0, BN210074OM, OM, CLOSED, 02/15/2013, 08/22/2013, GR, ROM-00054-13, ENTRANCE DOORS, 15000.00, 15000.00, 02/14/2011
313563, 420 AVENUE F BROOKLYN NY, 11218, 2020, 0, AW210056OM, OM, CLOSED, 11/15/2012, 04/10/2013, GR, ROM-00029-13, PARAPET REPLACEMENT, 70100.00, 70100.00, 05/29/2012
313563, 420 AVENUE F BROOKLYN NY, 11218, 2020, 0, DR210060OM, OM, CLOSED, 06/09/2015, 12/01/2015, GP, ROM-00083-15, BURNER, 77300.00, 76143.00, 04/24/2013
313563, 420 AVENUE F BROOKLYN NY, 11218, 2020, 0, EU210086X, X, CLOSED, 09/15/2016, 01/04/2017, GR, RX-00001-17
313563, 420 AVENUE F BROOKLYN NY, 11218, 2020, 0, GT210005OM, OM, CLOSED, 08/03/2018, 05/28/2019, GP, ROM-00031-19, ELEVATOR UPGRADING, 172100.00, 169172.60, 01/25/2017
316803, 901 AVENUE H BROOKLYN NY, 11230, 2020, 1, CV210135X, X, CLOSED, 10/24/2014, 03/30/2015, CW, RX-00001-15
316803, 901 AVENUE H BROOKLYN NY, 11230, 2020, 1, EU230109X, X, CLOSED, 09/20/2016, 10/05/2016, CW, RX-00006-16
347307, 3210 AVENUE H BROOKLYN NY, 11210, 2020, 0, GT210033OM, OM, CLOSED, 08/21/2018, 04/10/2019, GP, RRT-00018-19, WINDOWS/RELATED WORK, 201035.00, 194805.00, 08/14/2017
347307, 3210 AVENUE H BROOKLYN NY, 11210, 2020, 0, GT210033OM, OM, CLOSED, 08/21/2018, 04/10/2019, GP, RRT-00018-19, BASEMENT WINDOWS, 19480.00, 19480.00, 01/06/2017
338300, 3310 AVENUE H BROOKLYN NY, 11210, 2020, 0, CV230127X, X, CLOSED, 10/24/2014, 12/04/2014, CW, RX-00009-14
373548, 3413 AVENUE H BROOKLYN NY, 11210, 2020, 0, YE210028X, X, CLOSED, 05/05/2010, 02/23/2011, GP, RXX-000104-20
373548, 3413 AVENUE H BROOKLYN NY, 11210, 2020, 0, AV210020OM, OM, CLOSED, 10/15/2012, 05/24/2013, GP, ROM-00034-13, ELEVATOR UPGRADING, 94935.53, 93703.53, 09/15/2011
373548, 3413 AVENUE H BROOKLYN NY, 11210, 2020, 0, AV210020OM, OM, CLOSED, 10/15/2012, 05/24/2013, GP, ROM-00034-13, CONSULTING FEES ELEV, 1862.50, 0.00, 01/26/2010
373548, 3413 AVENUE H BROOKLYN NY, 11210, 2020, 0, DM210021X, X, CLOSED, 01/15/2015, 02/06/2015, GR, RX-00003-15
331351, 515 AVENUE I BROOKLYN NY, 11230, 2020, 0, ER210012X, X, CLOSED, 06/13/2016, 06/17/2016, CW, RX-00004-16
303035, 1620 AVENUE I BROOKLYN NY, 11230, 2020, 2, DT230039X, X, CLOSED, 08/31/2015, 09/10/2015, CW, RTX-0001-15
303035, 1620 AVENUE I BROOKLYN NY, 11230, 2020, 2, CV230156X, X, CLOSED, 10/28/2014, 03/30/2015, CW, RX-00002-15
303035, 1620 AVENUE I BROOKLYN NY, 11230, 2020, 2, GU230007X, X, CLOSED, 09/04/2018, 09/04/2018, CW, RX-00003-18
